Report Builder

"Principal Place of Performance State Code","Is Vendor Business Type - Economically Disadvantaged Women Owned Small Business","Is Vendor Business Type - Women Owned Small Business","NAICS Code","NAICS Description","Base and All Options Value (Total Contract Value)"
"RI","NO","NO","711120","DANCE COMPANIES","$6,300.00"
"RI","NO","NO","711310","PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES","$12,125.00"
"RI","NO","NO","721110","HOTELS (EXCEPT CASINO HOTELS) AND MOTELS","$337,972.33"
"RI","NO","NO","722310","FOOD SERVICE CONTRACTORS","$25,605,349.60"
"RI","NO","NO","811111","GENERAL AUTOMOTIVE REPAIR","$32,425.52"
"RI","NO","NO","811121","AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE","$122,784.57"
"RI","NO","NO","811212","COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE","$123,321.17"
"RI","NO","NO","811213","COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE","$0.00"
"RI","NO","NO","811219","OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE","$819,777.53"
"RI","NO","NO","811310","COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE","$912,802.61"
"RI","NO","NO","811412","APPLIANCE REPAIR AND MAINTENANCE","$0.00"
"RI","NO","NO","812930","PARKING LOTS AND GARAGES","$1,335,900.00"
"RI","NO","NO","813110","RELIGIOUS ORGANIZATIONS","$212,100.00"
"RI","NO","NO","813311","HUMAN RIGHTS ORGANIZATIONS","$143,000.00"
"RI","NO","NO","813920","PROFESSIONAL ORGANIZATIONS","$24,776.00"
"RI","NO","YES","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","$1,260,766.92"
"RI","NO","YES","237990","OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION","$112,131.87"
"RI","NO","YES","238160","ROOFING CONTRACTORS","$458,400.00"
"RI","NO","YES","238990","ALL OTHER SPECIALTY TRADE CONTRACTORS","$11,562.00"
"RI","NO","YES","313210","BROADWOVEN FABRIC MILLS","$74,000.00"
"RI","NO","YES","313310","TEXTILE AND FABRIC FINISHING MILLS","$4,400.00"
"RI","NO","YES","314999","ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS","$206,000.00"
"RI","NO","YES","316210","FOOTWEAR MANUFACTURING","$0.00"
"RI","NO","YES","326199","ALL OTHER PLASTICS PRODUCT MANUFACTURING","$249,980.88"
"RI","NO","YES","326299","ALL OTHER RUBBER PRODUCT MANUFACTURING","$432,482.12"
"RI","NO","YES","332510","HARDWARE MANUFACTURING","$138,492.50"
"RI","NO","YES","332710","MACHINE SHOPS","$20,245.00"
"RI","NO","YES","332994","SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING","$4,667,544.00"
"RI","NO","YES","333414","HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING","$14,557.94"
"RI","NO","YES","333912","AIR AND GAS COMPRESSOR MANUFACTURING","$81,827.55"
"RI","NO","YES","333923","OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING","$6,040.00"
"RI","NO","YES","334111","ELECTRONIC COMPUTER MANUFACTURING","$240,584.20"
"RI","NO","YES","334112","COMPUTER STORAGE DEVICE MANUFACTURING","$81,100.00"
"RI","NO","YES","334220","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","$27,908.52"
"RI","NO","YES","334310","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","$28,991.00"
"RI","NO","YES","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","$200,806.00"
"RI","NO","YES","334513","INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES","$96,305.72"
"RI","NO","YES","335312","MOTOR AND GENERATOR MANUFACTURING","$71,002.02"
"RI","NO","YES","339112","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING","$57,418.75"
"RI","NO","YES","339113","SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING","$47,235.73"
"RI","NO","YES","339910","JEWELRY AND SILVERWARE MANUFACTURING","$153,670.00"
"RI","NO","YES","484210","USED HOUSEHOLD AND OFFICE GOODS MOVING","$121,255.00"
"RI","NO","YES","511130","BOOK PUBLISHERS","$19,448.00"
"RI","NO","YES","519130","INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS","$6,600.00"
"RI","NO","YES","541199","ALL OTHER LEGAL SERVICES","$10,000.00"
"RI","NO","YES","541330","ENGINEERING SERVICES","$81,328,915.37"
"RI","NO","YES","541519","OTHER COMPUTER RELATED SERVICES","$1,996,475.75"
"RI","NO","YES","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","$0.00"
"RI","NO","YES","541690","OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES","$11,000.00"
"RI","NO","YES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$2,840,993.53"
"RI","NO","YES","561210","FACILITIES SUPPORT SERVICES","$802,449.21"
"RI","NO","YES","561612","SECURITY GUARDS AND PATROL SERVICES","$11,700.00"
"RI","NO","YES","561621","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)","$174,556.28"
"RI","NO","YES","561710","EXTERMINATING AND PEST CONTROL SERVICES","$70,577.75"
"RI","NO","YES","561720","JANITORIAL SERVICES","$398,225.82"
"RI","NO","YES","561730","LANDSCAPING SERVICES","$0.00"
"RI","NO","YES","561790","OTHER SERVICES TO BUILDINGS AND DWELLINGS","$54,350.00"
"RI","NO","YES","562112","HAZARDOUS WASTE COLLECTION","$7,947.00"
"RI","NO","YES","562211","HAZARDOUS WASTE TREATMENT AND DISPOSAL","$27,367.44"
"RI","NO","YES","562910","REMEDIATION SERVICES","$6,300.00"
"RI","NO","YES","562991","SEPTIC TANK AND RELATED SERVICES","$167,600.00"
"RI","NO","YES","562998","ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES","$63,356.73"
"RI","NO","YES","611710","EDUCATIONAL SUPPORT SERVICES","$15,768.36"
"RI","NO","YES","623110","NURSING CARE FACILITIES (SKILLED NURSING FACILITIES)","$728,354.72"
"RI","NO","YES","721110","HOTELS (EXCEPT CASINO HOTELS) AND MOTELS","$253,982.88"
"RI","NO","YES","722320","CATERERS","$38,736.00"
"RI","NO","YES","811111","GENERAL AUTOMOTIVE REPAIR","$2,950.00"
"RI","NO","YES","811310","COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE","$212,357.73"
"RI","YES","YES","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","$1,861,238.62"
"RI","YES","YES","237130","POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION","$249,522.00"
"RI","YES","YES","237310","HIGHWAY, STREET, AND BRIDGE CONSTRUCTION","$535,348.80"
"RI","YES","YES","238140","MASONRY CONTRACTORS","$43,278.33"
"RI","YES","YES","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","$12,059.43"
"RI","YES","YES","238220","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","$6,898,711.81"
"RI","YES","YES","238330","FLOORING CONTRACTORS","$142,000.00"
"RI","YES","YES","321114","WOOD PRESERVATION","$3,715.48"
"RI","YES","YES","322211","CORRUGATED AND SOLID FIBER BOX MANUFACTURING","$193.20"
"RI","YES","YES","325520","ADHESIVE MANUFACTURING","$35,981.50"
"RI","YES","YES","332510","HARDWARE MANUFACTURING","$20,280.00"
"RI","YES","YES","333414","HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING","$99,955.00"
"RI","YES","YES","337211","WOOD OFFICE FURNITURE MANUFACTURING","$25,944.00"
"RI","YES","YES","491110","POSTAL SERVICE","$0.00"
"RI","YES","YES","511210","SOFTWARE PUBLISHERS","$0.00"
"RI","YES","YES","541330","ENGINEERING SERVICES","$5,488,688.07"
"RI","YES","YES","541430","GRAPHIC DESIGN SERVICES","$0.00"
"RI","YES","YES","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","$70,696.33"
"RI","YES","YES","541512","COMPUTER SYSTEMS DESIGN SERVICES","$0.00"
"RI","YES","YES","541519","OTHER COMPUTER RELATED SERVICES","$1,979,505.45"
"RI","YES","YES","541620","ENVIRONMENTAL CONSULTING SERVICES","$30,991.48"
"RI","YES","YES","561110","OFFICE ADMINISTRATIVE SERVICES","$11,612.80"
"RI","YES","YES","561210","FACILITIES SUPPORT SERVICES","$0.00"
"RI","YES","YES","561720","JANITORIAL SERVICES","$1,572,745.83"
"RI","YES","YES","562111","SOLID WASTE COLLECTION","$354,986.71"
"RI","YES","YES","562910","REMEDIATION SERVICES","$5,062,121.76"
"RI","YES","YES","611420","COMPUTER TRAINING","$0.00"
"RI","YES","YES","611710","EDUCATIONAL SUPPORT SERVICES","$7,552.31"
"RI","YES","YES","811212","COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE","$17,917.92"
"SC","NO","NO","112990","ALL OTHER ANIMAL PRODUCTION","$2,621,080.81"
"SC","NO","NO","113110","TIMBER TRACT OPERATIONS","$98,573.26"
"SC","NO","NO","113210","FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS","$77,515.30"
"SC","NO","NO","113310","LOGGING","$5,200.00"
"SC","NO","NO","114210","HUNTING AND TRAPPING","$125,000.00"
"SC","NO","NO","115112","SOIL PREPARATION, PLANTING, AND CULTIVATING","$652,754.20"
"SC","NO","NO","115310","SUPPORT ACTIVITIES FOR FORESTRY","$4,183,295.77"
"SC","NO","NO","212321","CONSTRUCTION SAND AND GRAVEL MINING","$18,980.00"
"SC","NO","NO","213112","SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS","$42,024.18"
"SC","NO","NO","213113","SUPPORT ACTIVITIES FOR COAL MINING","$31,773.70"
"SC","NO","NO","221112","FOSSIL FUEL ELECTRIC POWER GENERATION","$49,886,106.10"
"SC","NO","NO","221122","ELECTRIC POWER DISTRIBUTION","$1,959,150.40"
"SC","NO","NO","221210","NATURAL GAS DISTRIBUTION","$1,468,162.69"
"SC","NO","NO","221310","WATER SUPPLY AND IRRIGATION SYSTEMS","$11,973,736.66"
"SC","NO","NO","221320","SEWAGE TREATMENT FACILITIES","$1,614,538.15"
"SC","NO","NO","221330","STEAM AND AIR-CONDITIONING SUPPLY","$15,648.20"
"SC","NO","NO","236210","INDUSTRIAL BUILDING CONSTRUCTION","$97,445,339.87"
"SC","NO","NO","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","$267,251,102.15"
"SC","NO","NO","237110","WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION","$19,900,638.07"
"SC","NO","NO","237120","OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION","$2,779,195.07"
"SC","NO","NO","237130","POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION","$626,371.54"
"SC","NO","NO","237310","HIGHWAY, STREET, AND BRIDGE CONSTRUCTION","$29,564,016.10"
"SC","NO","NO","237990","OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION","$34,209,356.50"
"SC","NO","NO","238110","POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS","$31,200.00"
"SC","NO","NO","238150","GLASS AND GLAZING CONTRACTORS","$3,910.00"
"SC","NO","NO","238160","ROOFING CONTRACTORS","$8,279,526.26"
"SC","NO","NO","238190","OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS","$36,573.59"
"SC","NO","NO","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","$1,187,608.75"
"SC","NO","NO","238220","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","$4,070,455.74"
"SC","NO","NO","238290","OTHER BUILDING EQUIPMENT CONTRACTORS","$2,694,658.05"
"SC","NO","NO","238320","PAINTING AND WALL COVERING CONTRACTORS","$450,539.30"
"SC","NO","NO","238330","FLOORING CONTRACTORS","$278,672.56"
"SC","NO","NO","238910","SITE PREPARATION CONTRACTORS","$1,279,443.02"
"SC","NO","NO","238990","ALL OTHER SPECIALTY TRADE CONTRACTORS","$11,136,125.80"
"SC","NO","NO","311411","FROZEN FRUIT, JUICE, AND VEGETABLE MANUFACTURING","$14,392,320.30"
"SC","NO","NO","311412","FROZEN SPECIALTY FOOD MANUFACTURING","$185,794.56"
"SC","NO","NO","311421","FRUIT AND VEGETABLE CANNING","$141,837,255.98"
"SC","NO","NO","311422","SPECIALTY CANNING","$1,902,150.00"
"SC","NO","NO","311511","FLUID MILK MANUFACTURING","$4,230.04"
"SC","NO","NO","311611","ANIMAL (EXCEPT POULTRY) SLAUGHTERING","$2,579,070.88"
"SC","NO","NO","311612","MEAT PROCESSED FROM CARCASSES","$120,411.20"
"SC","NO","NO","311615","POULTRY PROCESSING","$24,474,456.00"
"SC","NO","NO","311812","COMMERCIAL BAKERIES","$53,914,928.41"
"SC","NO","NO","311824","DRY PASTA, DOUGH, AND FLOUR MIXES MANUFACTURING FROM PURCHASED FLOUR","$2,774,940.64"
"SC","NO","NO","311919","OTHER SNACK FOOD MANUFACTURING","$2,148,000.00"
"SC","NO","NO","311991","PERISHABLE PREPARED FOOD MANUFACTURING","$23,710,749.83"
"SC","NO","NO","311999","ALL OTHER MISCELLANEOUS FOOD MANUFACTURING","$8,917,543.16"
"SC","NO","NO","312113","ICE MANUFACTURING","$123,331.16"
"SC","NO","NO","313210","BROADWOVEN FABRIC MILLS","$3,068,460.70"
"SC","NO","NO","313230","NONWOVEN FABRIC MILLS","$133,870.80"
"SC","NO","NO","313310","TEXTILE AND FABRIC FINISHING MILLS","$67,861.25"
"SC","NO","NO","314110","CARPET AND RUG MILLS","$86,921.07"
"SC","NO","NO","314120","CURTAIN AND LINEN MILLS","$27,300.00"
"SC","NO","NO","314910","TEXTILE BAG AND CANVAS MILLS","$99,376.44"
"SC","NO","NO","314994","ROPE, CORDAGE, TWINE, TIRE CORD, AND TIRE FABRIC MILLS","$23,940.50"
"SC","NO","NO","314999","ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS","$200,897.00"
"SC","NO","NO","315190","OTHER APPAREL KNITTING MILLS","$107,498.58"
"SC","NO","NO","315210","CUT AND SEW APPAREL CONTRACTORS","$102,973.75"
"SC","NO","NO","315280","OTHER CUT AND SEW APPAREL MANUFACTURING","$42,811.93"
"SC","NO","NO","315990","APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING","$242,948.81"
"SC","NO","NO","315999","OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING","$130,837.72"
"SC","NO","NO","316210","FOOTWEAR MANUFACTURING","$347,402.71"
"SC","NO","NO","316998","ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING","$46,934.88"
"SC","NO","NO","321920","WOOD CONTAINER AND PALLET MANUFACTURING","$50,870.70"
"SC","NO","NO","321999","ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING","$100,181.86"
"SC","NO","NO","322121","PAPER (EXCEPT NEWSPRINT) MILLS","$19,849.40"
"SC","NO","NO","322211","CORRUGATED AND SOLID FIBER BOX MANUFACTURING","$24,669.10"
"SC","NO","NO","322220","PAPER BAG AND COATED AND TREATED PAPER MANUFACTURING","$15,681,747.37"
"SC","NO","NO","322291","SANITARY PAPER PRODUCT MANUFACTURING","$19,580.96"
"SC","NO","NO","323111","COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS)","$77,700.88"
"SC","NO","NO","323113","COMMERCIAL SCREEN PRINTING","$0.00"
"SC","NO","NO","323117","BOOKS PRINTING","$16,317.60"
"SC","NO","NO","324110","PETROLEUM REFINERIES","$997,581.28"
"SC","NO","NO","324191","PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING","$904,613.26"
"SC","NO","NO","324199","ALL OTHER PETROLEUM AND COAL PRODUCTS MANUFACTURING","$40,442.18"
"SC","NO","NO","325110","PETROCHEMICAL MANUFACTURING","$1,200.00"
"SC","NO","NO","325120","INDUSTRIAL GAS MANUFACTURING","$1,775,313.95"
"SC","NO","NO","325130","SYNTHETIC DYE AND PIGMENT MANUFACTURING","$1,279,850.00"
"SC","NO","NO","325199","ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING","$19,137.60"
"SC","NO","NO","325320","PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING","$19,920.00"
"SC","NO","NO","325412","PHARMACEUTICAL PREPARATION MANUFACTURING","$1,546,954.38"
"SC","NO","NO","325413","IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING","$618,998.56"
"SC","NO","NO","325510","PAINT AND COATING MANUFACTURING","$423,289.00"
"SC","NO","NO","325520","ADHESIVE MANUFACTURING","$12,063.00"
"SC","NO","NO","325611","SOAP AND OTHER DETERGENT MANUFACTURING","$7,574.05"
"SC","NO","NO","325612","POLISH AND OTHER SANITATION GOOD MANUFACTURING","$417,392.95"
"SC","NO","NO","325620","TOILET PREPARATION MANUFACTURING","$120.75"
"SC","NO","NO","325991","CUSTOM COMPOUNDING OF PURCHASED RESINS","$37,500.00"
"SC","NO","NO","325992","PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING","$5,709.00"
"SC","NO","NO","325998","ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING","$744,574.83"
"SC","NO","NO","326111","PLASTICS BAG MANUFACTURING","$59,474.00"
"SC","NO","NO","326112","PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING","$11,140.84"
"SC","NO","NO","326113","UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING","$45.00"
"SC","NO","NO","326121","UNLAMINATED PLASTICS PROFILE SHAPE MANUFACTURING","$33,468.00"
"SC","NO","NO","326130","LAMINATED PLASTICS PLATE, SHEET (EXCEPT PACKAGING), AND SHAPE MANUFACTURING","$58,459.32"
"SC","NO","NO","326140","POLYSTYRENE FOAM PRODUCT MANUFACTURING","$23,077.11"
"SC","NO","NO","326160","PLASTICS BOTTLE MANUFACTURING","$39,480.00"
"SC","NO","NO","326191","PLASTICS PLUMBING FIXTURE MANUFACTURING","$62,891.25"
"SC","NO","NO","326199","ALL OTHER PLASTICS PRODUCT MANUFACTURING","$462,921.49"
"SC","NO","NO","326220","RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING","$301,327.04"
"SC","NO","NO","326299","ALL OTHER RUBBER PRODUCT MANUFACTURING","$251,424.65"
"SC","NO","NO","327110","POTTERY, CERAMICS, AND PLUMBING FIXTURE MANUFACTURING","$125,890.95"
"SC","NO","NO","327215","GLASS PRODUCT MANUFACTURING MADE OF PURCHASED GLASS","$122,815.00"
"SC","NO","NO","327390","OTHER CONCRETE PRODUCT MANUFACTURING","$97,500.25"
"SC","NO","NO","327910","ABRASIVE PRODUCT MANUFACTURING","$9,993.90"
"SC","NO","NO","327992","GROUND OR TREATED MINERAL AND EARTH MANUFACTURING","$73,670.22"
"SC","NO","NO","331110","IRON AND STEEL MILLS AND FERROALLOY MANUFACTURING","$9,020.25"
"SC","NO","NO","331210","IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL","$5,481.00"
"SC","NO","NO","331221","ROLLED STEEL SHAPE MANUFACTURING","$57,922.00"
"SC","NO","NO","331222","STEEL WIRE DRAWING","$61.96"
"SC","NO","NO","331313","ALUMINA REFINING AND PRIMARY ALUMINUM PRODUCTION","$20,333.43"
"SC","NO","NO","331315","ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING","$6,850.00"
"SC","NO","NO","331318","OTHER ALUMINUM ROLLING, DRAWING, AND EXTRUDING","$9,410.27"
"SC","NO","NO","331420","COPPER ROLLING, DRAWING, EXTRUDING, AND ALLOYING","$24,982.82"
"SC","NO","NO","331491","NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING","$15,884.46"
"SC","NO","NO","332111","IRON AND STEEL FORGING","$124,217.82"
"SC","NO","NO","332112","NONFERROUS FORGING","$240,624.72"
"SC","NO","NO","332119","METAL CROWN, CLOSURE, AND OTHER METAL STAMPING (EXCEPT AUTOMOTIVE)","$3,181.47"
"SC","NO","NO","332216","SAW BLADE AND HANDTOOL MANUFACTURING","$271,937.22"
"SC","NO","NO","332311","PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING","$525,260.45"
"SC","NO","NO","332312","FABRICATED STRUCTURAL METAL MANUFACTURING","$252,775.87"
"SC","NO","NO","332313","PLATE WORK MANUFACTURING","$16,068.02"
"SC","NO","NO","332321","METAL WINDOW AND DOOR MANUFACTURING","$4,095.00"
"SC","NO","NO","332322","SHEET METAL WORK MANUFACTURING","$11,665.30"
"SC","NO","NO","332323","ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING","$1,018,365.00"
"SC","NO","NO","332410","POWER BOILER AND HEAT EXCHANGER MANUFACTURING","$113,326.15"
"SC","NO","NO","332420","METAL TANK (HEAVY GAUGE) MANUFACTURING","$184,070.00"
"SC","NO","NO","332439","OTHER METAL CONTAINER MANUFACTURING","$3,432,985.40"
"SC","NO","NO","332510","HARDWARE MANUFACTURING","$3,397,100.62"
"SC","NO","NO","332613","SPRING MANUFACTURING","$1,585.63"
"SC","NO","NO","332618","OTHER FABRICATED WIRE PRODUCT MANUFACTURING","$413,675.56"
"SC","NO","NO","332710","MACHINE SHOPS","$221,806.74"
"SC","NO","NO","332721","PRECISION TURNED PRODUCT MANUFACTURING","$69,372.65"
"SC","NO","NO","332722","BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING","$420,575.22"
"SC","NO","NO","332911","INDUSTRIAL VALVE MANUFACTURING","$199,162.67"
"SC","NO","NO","332912","FLUID POWER VALVE AND HOSE FITTING MANUFACTURING","$19,789.10"
"SC","NO","NO","332913","PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING","$130,793.50"
"SC","NO","NO","332919","OTHER METAL VALVE AND PIPE FITTING MANUFACTURING","$94,304.87"
"SC","NO","NO","332991","BALL AND ROLLER BEARING MANUFACTURING","$2,604,945.41"
"SC","NO","NO","332992","SMALL ARMS AMMUNITION MANUFACTURING","$281,101.75"
"SC","NO","NO","332994","SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING","$19,812,736.37"
"SC","NO","NO","332996","FABRICATED PIPE AND PIPE FITTING MANUFACTURING","$258,826.67"
"SC","NO","NO","332999","ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING","$3,066,450.49"
"SC","NO","NO","333111","FARM MACHINERY AND EQUIPMENT MANUFACTURING","$637,178.98"
"SC","NO","NO","333112","LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING","$318,840.44"
"SC","NO","NO","333120","CONSTRUCTION MACHINERY MANUFACTURING","$184,553.96"
"SC","NO","NO","333132","OIL AND GAS FIELD MACHINERY AND EQUIPMENT MANUFACTURING","$97,226.85"
"SC","NO","NO","333241","FOOD PRODUCT MACHINERY MANUFACTURING","$1,385,209.01"
"SC","NO","NO","333244","PRINTING MACHINERY AND EQUIPMENT MANUFACTURING","$11,875.50"
"SC","NO","NO","333249","OTHER INDUSTRIAL MACHINERY MANUFACTURING","$20,100.00"
"SC","NO","NO","333293","PRINTING MACHINERY AND EQUIPMENT MANUFACTURING","$119,384.00"
"SC","NO","NO","333298","ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING","$79,746.90"
"SC","NO","NO","333314","OPTICAL INSTRUMENT AND LENS MANUFACTURING","$283,856.35"
"SC","NO","NO","333315","PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING","$169,243.63"
"SC","NO","NO","333316","PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING","$612,227.04"
"SC","NO","NO","333318","OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING","$3,936,946.60"
"SC","NO","NO","333413","INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING","$38,397.25"
"SC","NO","NO","333414","HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING","$2,599,160.55"
"SC","NO","NO","333415","AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING","$1,256,526.90"
"SC","NO","NO","333515","CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING","$11,043.69"
"SC","NO","NO","333517","MACHINE TOOL MANUFACTURING","$281,203.30"
"SC","NO","NO","333518","OTHER METALWORKING MACHINERY MANUFACTURING","$15,671.00"
"SC","NO","NO","333519","ROLLING MILL AND OTHER METALWORKING MACHINERY MANUFACTURING","$17,658.00"
"SC","NO","NO","333611","TURBINE AND TURBINE GENERATOR SET UNITS MANUFACTURING","$34,615.47"
"SC","NO","NO","333612","SPEED CHANGER, INDUSTRIAL HIGH-SPEED DRIVE, AND GEAR MANUFACTURING","$60,967.96"
"SC","NO","NO","333613","MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING","$3,558.30"
"SC","NO","NO","333618","OTHER ENGINE EQUIPMENT MANUFACTURING","$2,213,891.27"
"SC","NO","NO","333911","PUMP AND PUMPING EQUIPMENT MANUFACTURING","$22,806.72"
"SC","NO","NO","333912","AIR AND GAS COMPRESSOR MANUFACTURING","$204,428.05"
"SC","NO","NO","333913","MEASURING AND DISPENSING PUMP MANUFACTURING","$17,502.50"
"SC","NO","NO","333914","MEASURING, DISPENSING, AND OTHER PUMPING EQUIPMENT MANUFACTURING","$5,547,333.16"
"SC","NO","NO","333921","ELEVATOR AND MOVING STAIRWAY MANUFACTURING","$320,233.63"
"SC","NO","NO","333923","OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING","$116,760.50"
"SC","NO","NO","333924","INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING","$381,512.47"
"SC","NO","NO","333991","POWER-DRIVEN HANDTOOL MANUFACTURING","$78,152.09"
"SC","NO","NO","333993","PACKAGING MACHINERY MANUFACTURING","$17,920.00"
"SC","NO","NO","333994","INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING","$12,691.69"
"SC","NO","NO","333996","FLUID POWER PUMP AND MOTOR MANUFACTURING","$339,580.44"
"SC","NO","NO","333999","ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING","$559,938.72"
"SC","NO","NO","334111","ELECTRONIC COMPUTER MANUFACTURING","$9,412,871.48"
"SC","NO","NO","334112","COMPUTER STORAGE DEVICE MANUFACTURING","$309,938.71"
"SC","NO","NO","334118","COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING","$142,457.51"
"SC","NO","NO","334119","OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING","$190,174.40"
